,country_code,period,churn_rate,period_rank
0,FR,201939,,1
1,FR,201938,,2
2,FR,201937,,3
3,FR,201936,,4
4,FR,201935,,5
5,FR,201934,,6
6,FR,201933,,7
7,FR,201932,,8
8,FR,201931,,9
9,FR,201930,,10
10,FR,201929,,11
11,FR,201928,,12
12,FR,201927,,13
13,FR,201926,,14
14,FR,201925,,15
15,FR,201924,,16
16,FR,201923,,17
17,FR,201922,,18
18,FR,201921,,19
19,ES,201939,,1
20,ES,201938,,2
21,ES,201937,,3
22,ES,201936,,4
23,ES,201935,,5
24,ES,201934,,6
25,ES,201933,,7
26,ES,201932,,8
27,ES,201931,,9
28,ES,201930,,10
29,ES,201929,0.4903,11
30,ES,201928,0.3332,12
31,ES,201927,0.3972,13
32,ES,201926,0.358,14
33,ES,201925,0.3301,15
34,ES,201924,0.3049,16
35,ES,201923,0.2987,17
36,ES,201922,0.292,18
37,ES,201921,0.287,19
38,AR,201939,,1
39,AR,201938,,2
40,AR,201937,,3
41,AR,201936,,4
42,AR,201935,,5
43,AR,201934,,6
44,AR,201933,,7
45,AR,201932,0.632,8
46,AR,201931,0.5461,9
47,AR,201930,0.4806,10
48,AR,201929,0.4325,11
49,AR,201928,0.3863,12
50,AR,201927,0.3294,13
51,AR,201926,0.319,14
52,AR,201925,0.3136,15
53,AR,201924,0.3101,16
54,AR,201923,0.3145,17
55,AR,201922,0.3096,18
56,AR,201921,0.3138,19
57,PE,201939,,1
58,PE,201938,,2
59,PE,201937,,3
60,PE,201936,,4
61,PE,201935,,5
62,PE,201934,,6
63,PE,201933,,7
64,PE,201932,0.5269,8
65,PE,201931,0.4349,9
66,PE,201930,0.3695,10
67,PE,201929,0.32,11
68,PE,201928,0.2844,12
69,PE,201927,0.219,13
70,PE,201926,0.2199,14
71,PE,201925,0.2181,15
72,PE,201924,0.2171,16
73,PE,201923,0.2207,17
74,PE,201922,0.2202,18
75,PE,201921,0.2204,19
76,IT,201939,,1
77,IT,201938,,2
78,IT,201937,,3
79,IT,201936,,4
80,IT,201935,,5
81,IT,201934,,6
82,IT,201933,,7
83,IT,201932,,8
84,IT,201931,,9
85,IT,201930,,10
86,IT,201929,0.5216,11
87,IT,201928,0.4695,12
88,IT,201927,0.4029,13
89,IT,201926,0.3606,14
90,IT,201925,0.3339,15
91,IT,201924,0.3091,16
92,IT,201923,0.2939,17
93,IT,201922,0.2801,18
94,IT,201921,0.2731,19
